Shortcut,Code,Vernacular,Taxon,Grade,Location (64),Grid reference (12),Vice-county,Observer(s) (64),Determiner (64),Date (10),Date Validator,Abundance,Abundance qualifier,Sampling method,Sex,Life stage,Record status,Confidential,Comment (255)
"73.219, 2269, atcen, atethmia centrago, cbs, centre-barred sallow",73.219,Centre-barred Sallow,Atethmia centrago,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"41.002, 873, bladu, blastobasis adustella, dingy dowd",41.002,Dingy Dowd,Blastobasis adustella,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.059, 1742, cabil, camptogramma bilineata, yellow shell",70.059,Yellow Shell,Camptogramma bilineata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.218, 1894, chcla, chiasmia clathrata, latticed heath",70.218,Latticed Heath,Chiasmia clathrata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.007, 1651, chinese character, cigla, cilix glaucata",65.007,Chinese Character,Cilix glaucata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.334, 2123, diarsia rubi, dirub, small square-spot",73.334,Small Square-spot,Diarsia rubi,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.005, 1648, drepana falcataria, drfal, pebble hook-tip",65.005,Pebble Hook-tip,Drepana falcataria,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.141, 1862, double-striped pug, dsp, gymnoscelis rufifasciata, gyruf",70.141,Double-striped Pug,Gymnoscelis rufifasciata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.123, 2361, hydraecia micacea, hymic, rosy rustic",73.123,Rosy Rustic,Hydraecia micacea,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,30,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.169, 2343, common rustic, mesapamea secalis, mesec",73.169,Common Rustic?agg.,Mesapamea secalis?agg.,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,27,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.343, 2110, bbyu, broad-bordered yellow underwing, noctua fimbriata, nofim",73.343,Broad-bordered Yellow Underwing,Noctua fimbriata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,11,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.017, 2007, pheosia tremula, phtre, swallow prominent",71.017,Swallow Prominent,Pheosia tremula,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.006, 1361, pyaur, pyrausta aurata, small purple & gold",63.006,Small Purple & Gold,Pyrausta aurata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,70,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.358, 2133, six-striped rustic, xesex, xestia sexstrigata",73.358,Six-striped Rustic,Xestia sexstrigata,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,7,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.357, 2134, square-spot rustic, xestia xanthographa, xexan",73.357,Square-spot Rustic,Xestia xanthographa,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"16.001, 424, bird-cherry ermine, ypevo, yponomeuta evonymella",16.001,Bird-cherry Ermine,Yponomeuta evonymella,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"16.002, 425, orchard ermine, yponomeuta padella, yppad",16.002,Small Emine agg.,Yponomeuta?padella/malinellus/cagnagella,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"17.005, 455, wainscot smudge, ypsca, ypsolopha scabrella",17.005,Wainscot Smudge,Ypsolopha scabrella,NA,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,CM & VJ Beale,NA,12/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.001, 2450, abrostola tripartita, abtri1, spectacle",73.001,Spectacle,Abrostola tripartita,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.035, 1439, acadv, acrobasis advenella, grey knot-horn",62.035,Grey Knot-horn,Acrobasis advenella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,12,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,10,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,7,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,15,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.062, 2297, amphipyra pyramidea, ampyr, copper underwing, cu",73.062,Copper Underwing,Amphipyra pyramidea,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.064, 2299, amphipyra tragopoginis, amtra, mouse moth",73.064,Mouse Moth,Amphipyra tragopoginis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.162, 2321, apamea monoglypha, apmon, dark arches",73.162,Dark Arches,Apamea monoglypha,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.161, 1063, barred marble, celypha striana, cestr",49.161,Barred Marble,Celypha striana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.341, 1260, cydia splendana, cyspl, marbled piercer",49.341,Marbled Piercer,Cydia splendana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.012, 2434, burnished brass, diachrysia chrysitis, dichr2",73.012,Burnished Brass,Diachrysia chrysitis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.141, 1862, double-striped pug, dsp, gymnoscelis rufifasciata, gyruf",70.141,Double-striped Pug,Gymnoscelis rufifasciata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"28.01, 647, brown house moth, hofmannophila pseudospretella, hopse",28.01,Brown House Moth,Hofmannophila pseudospretella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.123, 2361, hydraecia micacea, hymic, rosy rustic",73.123,Rosy Rustic,Hydraecia micacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.016, 1713, idaea aversata, idave, riband wave",70.016,Riband Wave,Idaea aversata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,14,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic?agg.,Mesapamea secalis?agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,10,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.346, 2112, leayu, noctua interjecta, noint",73.346,Least Yellow Underwing,Noctua interjecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,9,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,35,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.358, 2133, sisr, xesex, xestia sexstrigata",73.358,Six-striped Rustic,Xestia sexstrigata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.357, 2134, sqsr, xestia xanthographa, xexan",73.357,Square-spot Rustic,Xestia xanthographa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta?padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,11/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,10,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,23,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.064, 2299, amphipyra tragopoginis, amtra, mouse moth",73.064,Mouse Moth,Amphipyra tragopoginis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.161, 1063, barred marble, celypha striana, cestr",49.161,Barred Marble,Celypha striana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.007, 1651, chinese character, cigla, cilix glaucata",65.007,Chinese Character,Cilix glaucata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.236, 1915, enero, ennomos erosaria, september thorn",70.236,September Thorn,Ennomos erosaria,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.048, 1470, ash-bark knot-horn, eupin, euzophera pinguis",62.048,Ash-bark Knot-horn,Euzophera pinguis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.141, 1862, double-striped pug, dsp, gymnoscelis rufifasciata, gyruf",70.141,Double-striped Pug,Gymnoscelis rufifasciata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.123, 2361, hydraecia micacea, hymic, rosy rustic",73.123,Rosy Rustic,Hydraecia micacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic?agg.,Mesapamea secalis?agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.024, 2064, phful2, phragmatobia fuliginosa, ruby tiger",72.024,Ruby Tiger,Phragmatobia fuliginosa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,10/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
